"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","13","Quincy Acy","PF","6-7","240","October 6, 1990","us","3","Baylor University","SAC"
"2","5","James Anderson","SG","6-6","213","March 25, 1989","us","4","Oklahoma State University","SAC"
"3","3","Marco Belinelli","SG","6-5","210","March 25, 1986","it","8","","SAC"
"4","31","Caron Butler","SF","6-7","228","March 13, 1980","us","13","University of Connecticut","SAC"
"5","18","Omri Casspi","SF","6-9","225","June 22, 1988","il","6","","SAC"
"6","00","Willie Cauley-Stein","C","7-0","240","August 18, 1993","us","R","University of Kentucky","SAC"
"7","7","Darren Collison","PG","6-0","175","August 23, 1987","us","6","University of California, Los Angeles","SAC"
"8","15","DeMarcus Cousins","C","6-11","270","August 13, 1990","us","5","University of Kentucky","SAC"
"9","30","Seth Curry","PG","6-2","185","August 23, 1990","us","2","Duke University","SAC"
"10","26","Duje Dukan","SF","6-9","220","December 4, 1991","hr","R","University of Wisconsin","SAC"
"11","8","Rudy Gay","SF","6-8","230","August 17, 1986","us","9","University of Connecticut","SAC"
"12","41","Kosta Koufos","C","7-0","265","February 24, 1989","us","7","Ohio State University","SAC"
"13","23","Ben McLemore","SG","6-5","195","February 11, 1993","us","2","University of Kansas","SAC"
"14","25","Eric Moreland","PF","6-10","238","December 24, 1991","us","1","Oregon State University","SAC"
"15","9","Rajon Rondo","PG","6-1","186","February 22, 1986","us","9","University of Kentucky","SAC"
