"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster.Â.","roster.Exp","roster.College","Team"
"1","1","Trevor Ariza","SF","6-8","215","June 30, 1985","us","11","University of California, Los Angeles","HOU"
"2","8","Michael Beasley","SF","6-9","235","January 9, 1989","us","7","Kansas State University","HOU"
"3","2","Patrick Beverley","PG","6-1","185","July 12, 1988","us","3","University of Arkansas","HOU"
"4","33","Corey Brewer","SF","6-9","186","March 5, 1986","us","8","University of Florida","HOU"
"5","15","Clint Capela","C","6-10","240","May 18, 1994","ch","1","","HOU"
"6","7","Sam Dekker","SF","6-9","230","May 6, 1994","us","R","University of Wisconsin","HOU"
"7","0","Andrew Goudelock","PG","6-3","200","December 7, 1988","us","2","College of Charleston","HOU"
"8","13","James Harden","SG","6-5","220","August 26, 1989","us","6","Arizona State University","HOU"
"9","35","Montrezl Harrell","PF","6-8","240","January 26, 1994","us","R","University of Louisville","HOU"
"10","44","Chuck Hayes","C","6-6","240","June 11, 1983","us","10","University of Kentucky","HOU"
"11","12","Dwight Howard","C","6-11","265","December 8, 1985","us","11","","HOU"
"12","6","Terrence Jones","PF","6-9","252","January 9, 1992","us","3","University of Kentucky","HOU"
"13","3","Ty Lawson","PG","5-11","195","November 3, 1987","us","6","University of North Carolina","HOU"
"14","32","K.J. McDaniels","SF","6-6","205","February 9, 1993","us","1","Clemson University","HOU"
"15","20","Donatas Motiejunas","PF","7-0","222","September 20, 1990","lt","3","","HOU"
"16","5","Josh Smith","PF","6-9","225","December 5, 1985","us","11","","HOU"
"17","31","Jason Terry","SG","6-2","185","September 15, 1977","us","16","University of Arizona","HOU"
"18","10","Marcus Thornton","SG","6-4","205","June 5, 1987","us","6","Louisiana State University","HOU"
